14:8:12;184
14:8:42;31
14:9:12;375
14:9:42;34
14:10:13;2109
14:10:45;3168
14:11:18;403
14:11:48;37
14:12:18;58
14:12:48;35
14:13:18;379
14:13:49;68
14:14:19;46
14:14:49;65
14:15:19;369
14:15:49;26
14:16:19;36
14:16:49;1420
14:17:21;392
14:18:26;1377
14:18:57;39
14:19:27;383
14:19:58;61
14:20:28;42
14:20:58;49
14:21:28;371
14:21:58;30
14:22:28;56
14:22:59;58
14:23:29;398
14:23:59;55
14:24:29;3151
14:25:2;61
14:25:32;379
14:26:3;47
14:26:33;46
14:27:3;1791
14:27:35;381
14:28:5;46
14:28:35;40
14:29:5;3341
14:29:38;379
14:30:9;379
14:30:39;42
14:31:9;33
14:31:39;385
14:32:10;2151
14:32:42;50
14:33:12;46
14:33:42;396
14:34:12;27
14:34:42;1632
14:35:14;1922
14:35:46;405
14:36:16;2244
14:36:49;38
14:37:19;29
14:37:49;376
14:38:19;35
14:38:49;214
14:39:19;33
14:39:49;851
14:40:20;408
14:40:51;89
14:41:21;58
14:41:51;432
14:42:21;402
14:42:52;936
14:43:23;37
14:43:53;369
14:44:23;38
14:44:53;44
14:45:23;54
14:45:53;365
14:46:24;33
14:46:54;31
14:47:24;40
14:47:54;456
14:48:24;37
14:48:54;98
14:49:24;34
14:49:54;366
14:50:25;32
14:50:55;39
14:51:25;43
14:51:55;610
14:52:25;39
14:52:55;295
14:53:26;955
14:53:57;600
14:54:27;43
14:54:57;39
14:55:27;140
14:55:57;680
14:56:28;49
14:56:58;32
14:57:28;26
14:57:58;366
14:58:29;421
14:58:59;55
14:59:29;319
15:59:59;377
15:0:30;907
15:1:1;277
15:1:31;42
15:2:1;949
15:2:32;1503
15:3:4;49
15:3:34;140
15:4:4;1519
15:4:35;73
15:5:5;84
15:5:35;38
15:6:5;431
15:6:36;53
15:7:6;62
15:7:36;54
15:8:6;460
15:8:37;40
15:9:7;44
15:9:37;55
15:10:7;456
15:10:37;46
15:11:7;75
15:11:37;32
15:12:7;528
15:12:38;39
15:13:8;52
15:13:38;50
15:14:8;494
15:14:38;49
15:15:8;35
15:15:39;56
15:16:9;495
15:16:39;40
15:17:9;47
15:17:39;51
15:18:9;498
15:18:40;29
15:19:10;38
15:19:40;42
15:20:10;382
15:20:40;28
15:21:10;36
15:21:40;41
15:22:10;369
15:22:41;30
15:23:11;53
15:23:41;26
15:24:11;369
15:24:41;38
15:25:11;39
15:25:41;28
15:26:11;369
15:26:42;30
15:27:12;32
15:27:42;24
15:28:12;370
15:28:42;29
15:29:12;30
15:29:42;31
15:30:12;377
15:30:43;38
15:31:13;31
15:31:43;31
15:32:13;367
15:32:43;38
15:33:13;46
15:33:43;36
15:34:13;378
